ticker,date_time,ret,trgt,t1,bin,side,clfW,name,cpn,date_issued,maturity,curr,amt_out,convertible,industry_sector,industry_group,industry_subgroup,callable,call_schedule,ISIN,conId,close,ytm,spread,moody,avg_rating
AO662118,2020-08-18 16:59:59,-0.05555555555555536,0.016794240136283323,2020-08-26 08:49:19,0.0,1.0,0.7331939008078683,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,90.0,0.08943425941369401,0.019434259413694005,4.0,4.0
AO662118,2020-08-27 12:05:23,-0.038189533239038065,0.017949560714371558,2020-09-08 16:42:25,0.0,-1.0,0.7762305721230696,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,85.0,0.10310049598455429,0.03310049598455428,4.0,4.0
AO662118,2020-08-27 13:11:17,-0.03536067892503547,0.01696556223609623,2020-09-08 16:42:25,0.0,-1.0,0.8192672434382708,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,85.25,0.10239963359117504,0.03239963359117504,4.0,4.0
AO662118,2020-08-31 11:02:16,-0.02461917740056785,0.017212433260495267,2020-09-10 15:57:31,0.0,-1.0,0.853836730798005,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,86.25,0.09968698048353197,0.029686980483531966,4.0,4.0
AO662118,2020-08-31 11:45:34,-0.024506089768962624,0.016772944036034323,2020-09-10 15:57:31,0.0,-1.0,0.8749303513529569,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,86.26,0.09965934449911118,0.029659344499111173,4.0,4.0
AO662118,2020-10-01 16:23:42,-0.016800000000000148,0.011946342523471432,2020-10-15 16:37:28,0.0,-1.0,0.8759339556008883,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,86.03,0.10083427192926406,0.050834271929264055,4.0,4.0
AO662118,2020-10-08 11:18:20,-0.002865329512893644,0.012012584458049059,2020-10-20 13:53:44,0.0,-1.0,0.9019899869163266,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,87.0,0.0982231889837253,0.048223188983725296,4.0,4.0
AO662118,2020-10-09 11:20:35,-0.0014326647564466555,0.010866781093868367,2020-10-20 13:53:44,0.0,-1.0,0.9086120249948635,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,87.125,0.09788964059588634,0.04788964059588634,4.0,4.0
AO662118,2020-12-09 11:39:32,0.025906735751295207,0.02435869595736668,2020-12-10 16:45:20,1.0,1.0,0.9266205197628212,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,96.5,0.07361424389340522,0.023614243893405218,4.0,4.0
AO662118,2020-12-10 16:45:20,-0.01767676767676729,0.022478327663054697,2020-12-28 14:53:51,0.0,1.0,0.9370654188439442,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,99.0,0.067392062997818,0.017392062997817995,4.0,4.0
AO662118,2020-12-15 11:01:38,0.0,0.024729193642768484,2020-12-28 14:53:51,0.0,1.0,0.9709532106397469,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,97.25,0.07174572563933561,0.021745725639335606,4.0,4.0
AO662118,2020-12-15 16:44:28,0.002577319587629079,0.02564473137969726,2020-12-28 14:53:51,1.0,1.0,0.9739275816058074,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,97.0,0.07237463097572328,0.022374630975723273,4.0,4.0
AO662118,2020-12-28 14:53:51,-0.001727506426735248,0.023217626508035407,2021-01-07 15:48:25,0.0,1.0,0.9761583598303527,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,97.25,0.07178764634132384,0.021787646341323838,4.0,4.0
AO662118,2021-01-04 11:32:53,-0.005343621696341949,0.02123878922560189,2021-01-15 11:53:59,0.0,1.0,1.0,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,96.938,0.07260400948524473,0.022604009485244728,4.0,4.0
AP076075,2020-07-21 15:37:25,-0.03125531914893631,0.014544558275761418,2020-08-03 11:43:19,0.0,-1.0,0.6595705143458821,RRC,5.0,2017-09-07 00:00:00,2023-03-15 00:00:00,USD,741527000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2022-12-15 100.0,US75281ABA60,291787332,91.062,0.08802221440867941,0.05802221440867941,6.0,5.0
AP076075,2020-07-28 10:11:41,-0.04388601036269457,0.012726556756036473,2020-08-10 14:56:23,0.0,-1.0,0.7186585121234828,RRC,5.0,2017-09-07 00:00:00,2023-03-15 00:00:00,USD,741527000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2022-12-15 100.0,US75281ABA60,291787332,92.265,0.08286613516807559,0.05286613516807559,6.0,5.0
